311,"Irshad Kamil","F:/songs/artist/Irshad Kamil/",India,4,0
312,"Amit Trivedi","F:/songs/artist/Amit Trivedi/",India,4,0
313,"Swanand Kirkire","F:/songs/artist/Swanand Kirkire/",India,4,0
314,"Shahid Mallya","F:/songs/artist/Shahid Mallya/",India,4,0
315,"Vishvajeet Choudhary","F:/songs/artist/Vishvajeet Choudhary/",India,4,0
316,"Rajat Nagpal","F:/songs/artist/Rajat Nagpal/",India,4,0
317,"Yuvan Shankar Raja","F:/songs/artist/Yuvan Shankar Raja/",India,5,0
318,Gaush,F:/songs/artist/Gaush/,India,4,0
319,"Prashant Ingole","F:/songs/artist/Prashant Ingole/",India,4,0
320,"Satinder Sartaaj","F:/songs/artist/Satinder Sartaaj/",India,6,0
321,"The Landers","F:/songs/artist/The Landers/",India,6,0
322,"Guri Singh","F:/songs/artist/Guri Singh/",India,6,0
323,Mofusion,F:/songs/artist/Mofusion/,India,6,0
324,"Nav Dolorain","F:/songs/artist/Nav Dolorain/",India,6,0
325,"Kanika Wadhwa","F:/songs/artist/Kanika Wadhwa/",India,6,0
326,"Romey Maan","F:/songs/artist/Romey Maan/",India,6,0
327,Sulfa,F:/songs/artist/Sulfa/,India,6,0
328,"D. Imman","F:/songs/artist/D. Imman/",India,5,0
329,"Mohit Chauhan","F:/songs/artist/Mohit Chauhan/",India,4,0
330,Sangeet,F:/songs/artist/Sangeet/,India,4,0
331,"Siddharth Haldipur","F:/songs/artist/Siddharth Haldipur/",India,4,0
332,"Vagu Mazan","F:/songs/artist/Vagu Mazan/",India,4,0
333,Vaish,F:/songs/artist/Vaish/,India,4,0
334,"Amitabh Bhattacharya","F:/songs/artist/Amitabh Bhattacharya/",India,4,0
335,"Devi Sri Prasad","F:/songs/artist/Devi Sri Prasad/",India,5,0
336,"Harman Nazim Ali Siddiqe","F:/songs/artist/Harman Nazim Ali Siddiqe/",India,4,0
337,"Snigdha Sarkar","F:/songs/artist/Snigdha Sarkar/",India,4,0
338,"Seepi Jha","F:/songs/artist/Seepi Jha/",India,4,0
339,"Yuvraaj Hans","F:/songs/artist/Yuvraaj Hans/",India,6,0
340,"Mehtab Virk","F:/songs/artist/Mehtab Virk/",India,6,0
